created_date,job_title,job_title,min_salary,max_salary,salary_unit,city,district
2023-08-01,Business Analyst,Business Analyst,10.0,20.0,VND,Hà Nội,
2023-08-01,Nhân Viên Lập Trình Phần Mềm - Thu Nhập Từ 10 - 20 Triệu,Nhân Viên Lập Trình Phần Mềm - Thu Nhập Từ 10 - 20 Triệu,10.0,20.0,VND,Hồ Chí Minh,
2023-08-01,.Net Developer (N3) | T9160,Software Engineer,,,VND,Toàn Quốc,
2023-08-01,"Project Manager (Tiếng Anh Giao Tiếp, Từ 1 Năm Kinh Nghiệm)","Project Manager (Tiếng Anh Giao Tiếp, Từ 1 Năm Kinh Nghiệm)",35.0,,VND,Hà Nội,Cầu Giấy
2023-08-01,Devops/Sre - Chuyên Viên Quản Trị Hệ Thống/Automation,Devops/Sre - Chuyên Viên Quản Trị Hệ Thống/Automation,50.0,,VND,Hà Nội: Thanh Xuân: Hải Dương: TP Hải Dương,
2023-08-01,Angularjs (Từ 1.5 Năm Kinh Nghiệm),Angularjs (Từ 1.5 Năm Kinh Nghiệm),12.0,18.0,VND,Hà Nội,Nam Từ Liêm
2023-08-01,IT Application Support,IT Application Support,,,VND,Hồ Chí Minh,Quận 7
2023-08-01,Thực Tập Sinh Lập Trình Viên .Net,Thực Tập Sinh Lập Trình Viên .Net,2.0,6.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Chuyên Viên Lập Trình Phần Mềm,Chuyên Viên Lập Trình Phần Mềm,,,VND,Hà Nội,Cầu Giấy
2023-08-01,Thực Tập Lập Trình Viên .Net,Thực Tập Lập Trình Viên .Net,3.0,6.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Chuyên Viên Business Analyst,Chuyên Viên Business Analyst,,,VND,Hà Nội,Cầu Giấy
2023-08-01,AI Engineer,AI Engineer,,,VND,Hà Nội,
2023-08-01,Senior Business Intelligence Analyst,Senior Business Intelligence Analyst,1000.0,,USD,Hà Nội,Cầu Giấy
2023-08-01,Full-Stack Developer,Software Engineer,,,VND,Hà Nội,
2023-08-01,Senior Java Developer,Software Engineer,50.0,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Business Development Executive,Business Development Executive,10.0,30.0,VND,Hồ Chí Minh,Tân Bình
2023-08-01,Nhân Viên IT Helpdesk,Nhân Viên IT Helpdesk,9.0,10.0,VND,Hồ Chí Minh,Quận 10
2023-08-01,IT Infra Lead,IT Infra Lead,,,VND,Hồ Chí Minh,
2023-08-01,.Net Developer,Software Engineer,,,VND,Hồ Chí Minh,Quận 2
2023-08-01,Secretary - Salary Up To 15M,Secretary - Salary Up To 15M,,,VND,Hồ Chí Minh,Thủ Đức
2023-08-01,Embedded Software Engineer (Iot Project)_Up To $2800,Embedded Software Engineer (Iot Project)_Up To $2800,,,VND,Hà Nội,
2023-08-01,Junior Developer (C/Embedded),Software Engineer,,,VND,Hà Nội,Cầu Giấy
2023-08-01,Senior AI Engineer - Salary Up To $2500,Senior AI Engineer - Salary Up To $2500,,,VND,Hà Nội,Cầu Giấy
2023-08-01,Chuyên Gia Big Data,Chuyên Gia Big Data,50.0,,VND,Hà Nội,Đống Đa
2023-08-01,Front End Developer,Software Engineer,,,VND,Hà Nội,
2023-08-01,Backend Developer,Software Engineer,,,VND,Hà Nội,
2023-08-01,Trưởng Nhóm Lập Trình Web,Trưởng Nhóm Lập Trình Web,30.0,35.0,VND,Hồ Chí Minh,Tân Bình
2023-08-01,Nhân Viên Lập Trình Mobile,Nhân Viên Lập Trình Mobile,10.0,20.0,VND,Hồ Chí Minh,Tân Bình
2023-08-01,Nhân Viên Lập Trình Web,Nhân Viên Lập Trình Web,10.0,20.0,VND,Hồ Chí Minh: Tân Bình: Hà Nội: Ba Đình,
2023-08-01,Trưởng Bộ Phận Lập Trình Mobile,Trưởng Bộ Phận Lập Trình Mobile,30.0,35.0,VND,Hồ Chí Minh: Tân Bình: Hà Nội: Ba Đình,
2023-08-01,Nhân Viên Triển Khai Phần Mềm,Nhân Viên Triển Khai Phần Mềm,8.0,12.0,VND,Hà Nội,Ba Đình
2023-08-01,Nhân Viên Tester Thu Nhập 9 Đến 12 Triệu,Nhân Viên Tester Thu Nhập 9 Đến 12 Triệu,9.0,12.0,VND,Hà Nội: Ba Đình: Hồ Chí Minh: Tân Bình,
2023-08-01,System Admin,System Admin,10.0,18.0,VND,Hà Nội,Hồ Chí Minh
2023-08-01,Middle-Up QA/Tester,Middle-Up QA/Tester,600.0,1300.0,USD,Đà Nẵng,Hải Châu
2023-08-01,Thực Tập Sinh Lập Trình Viên .Net,Thực Tập Sinh Lập Trình Viên .Net,3.0,8.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Cộng Tác Viên IT,Cộng Tác Viên IT,3.0,,VND,Hà Nội,
2023-08-01,Senior Devops Engineers - Salary Upto 2000 Usd,Senior Devops Engineers - Salary Upto 2000 Usd,2000.0,,USD,Hồ Chí Minh,Bình Thạnh
2023-08-01,Project Manager,Project Manager,40.0,,VND,Hồ Chí Minh,Bình Thạnh
2023-08-01,Devops Engineer,Devops Engineer,20.0,30.0,VND,Hà Nội,Hoàn Kiếm
2023-08-01,Nhân Viên Web Designer (Html/Css + Wordpress),Nhân Viên Web Designer (Html/Css + Wordpress),,,VND,Hồ Chí Minh,Bình Thạnh
2023-08-01,Marketing Communication,Marketing Communication,,,VND,Hồ Chí Minh,Bình Thạnh
2023-08-01,Chuyên Viên Cao Cấp BI,Chuyên Viên Cao Cấp BI,,,VND,Hà Nội,Hoàn Kiếm
2023-08-01,IT Business Analyst,IT Business Analyst,,,VND,Hồ Chí Minh,Tân Bình
2023-08-01,Quản Lý Dự Án (Lĩnh Vực Công Nghệ Thông Tin),Quản Lý Dự Án (Lĩnh Vực Công Nghệ Thông Tin),12.0,,VND,Hà Nội,Cầu Giấy
2023-08-01,Product Owner,Product Owner,,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Vuejs Developer - Không Yêu Cầu Tiếng Anh - Từ 2 Năm Kinh Nghiệm - Mức Lương Lên Tới 30 Triệu,Software Engineer,30.0,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,.Net Full-Stack Developer,Software Engineer,,,VND,Hồ Chí Minh,Quận 10
2023-08-01,Tech Lead Làm Việc Tại Nghệ An ( Thu Nhập Upto 25M),Tech Lead Làm Việc Tại Nghệ An ( Thu Nhập Upto 25M),18.0,25.0,VND,Nghệ An,TP Vinh
2023-08-01,IT Business Analyst - HCM,IT Business Analyst - HCM,,,VND,Hồ Chí Minh,Quận 10
2023-08-01,Scrum Master (Ecommerce Platform),Scrum Master (Ecommerce Platform),20.0,30.0,VND,Hà Nội: Thanh Xuân: Hồ Chí Minh: Quận 7: Hải Dương: TP Hải Dương,
2023-08-01,Business Analyst (Ba),Business Analyst (Ba),,,VND,Hà Nội,Thanh Xuân
2023-08-01,Nhân Viên Data Admin (Thu Nhập Từ 7 - 8M),Nhân Viên Data Admin (Thu Nhập Từ 7 - 8M),7.0,8.0,VND,Hồ Chí Minh,
2023-08-01,Tester,Tester,1000.0,,USD,Hà Nội,
2023-08-01,Kỹ Thuật Viên Tại Trung Tâm Bảo Hành,Kỹ Thuật Viên Tại Trung Tâm Bảo Hành,7.0,8.0,VND,Hà Nội,Hai Bà Trưng
2023-08-01,Nhân Viên Hỗ Trợ Kỹ Thuật [Quận Long Biên-Hà Nội],Nhân Viên Hỗ Trợ Kỹ Thuật [Quận Long Biên-Hà Nội],7.0,10.0,VND,Hà Nội,Long Biên
2023-08-01,Senior Game Client Developer (Unity/C),Software Engineer,,,VND,Hồ Chí Minh,Quận 4
2023-08-01,PHP Developer [HN],Software Engineer,,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Chuyên Viên Kiểm Soát Quy Trình Phát Triển Phần Mềm (Pqa),Chuyên Viên Kiểm Soát Quy Trình Phát Triển Phần Mềm (Pqa),20.0,40.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Job .Net Developer [HN],Software Engineer,,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Technical Support Engineer (Open For Fresher) Salary Upto 15M,Technical Support Engineer (Open For Fresher) Salary Upto 15M,8.0,15.0,VND,Hà Nội,Hai Bà Trưng
2023-08-01,Senior C Developer,Software Engineer,2000.0,,USD,Hà Nội,Cầu Giấy
2023-08-01,Junior C Developer,Software Engineer,750.0,,USD,Hà Nội,Cầu Giấy
2023-08-01,Lập Trình Viên .Net/C# (Fresher 6 Tháng Kn- Lương 8-15Tr/Tháng),Lập Trình Viên .Net/C# (Fresher 6 Tháng Kn- Lương 8-15Tr/Tháng),8.0,15.0,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Kỹ Sư Lập Trình Nhúng (Up To 28M),Kỹ Sư Lập Trình Nhúng (Up To 28M),28.0,,VND,Hà Nội,Cầu Giấy
2023-08-01,Tester (Thu Nhập 15M - 25M),Tester (Thu Nhập 15M - 25M),12.0,20.0,VND,Hà Nội,
2023-08-01,Senior Java Developer,Software Engineer,30.0,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Android Developer (Kotlin/Java),Software Engineer,13.0,18.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Fresher Mobile Developer (React Native),Software Engineer,,,VND,Hồ Chí Minh,Quận 3
2023-08-01,PHP Laravel - From Mid. - Up To 2000K Usd,PHP Laravel - From Mid. - Up To 2000K Usd,1000.0,2000.0,USD,Hồ Chí Minh,Quận 12
2023-08-01,IT Developer,Software Engineer,,,VND,Hồ Chí Minh,Thủ Đức
2023-08-01,Nhân Viên Middle Sre/Devsecops (Aws),Nhân Viên Middle Sre/Devsecops (Aws),30.0,,VND,Hà Nội,Cầu Giấy
2023-08-01,Nhân Viên IOS Developer (Swift),Software Engineer,13.0,20.0,VND,Hà Nội,Cầu Giấy
2023-08-01,Thực Tập Sinh Nodejs,Thực Tập Sinh Nodejs,,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Iot Embedded Engineer (Offer Upto $2000),Iot Embedded Engineer (Offer Upto $2000),50.0,,VND,Hà Nội,
2023-08-01,IT Manager (Microsoft-Based),IT Manager (Microsoft-Based),1500.0,,USD,Hà Nội,
2023-08-01,"Lập Trình Viên PHP Làm Việc Tại Quận 3, Tphcm","Lập Trình Viên PHP Làm Việc Tại Quận 3, Tphcm",20.0,,VND,Hồ Chí Minh,Quận 3
2023-08-01,Business Analyst,Business Analyst,25.0,40.0,VND,Hồ Chí Minh,Phú Nhuận
2023-08-01,Thực Tập Sinh IT Support (Fulltime),Thực Tập Sinh IT Support (Fulltime),3.0,,VND,Hà Nội,Thanh Xuân
2023-08-01,Thực Tập Sinh Business Analyst,Thực Tập Sinh Business Analyst,2.0,,VND,Hà Nội,Thanh Xuân
2023-08-01,Business Analyst,Business Analyst,20.0,,VND,Hà Nội,Thanh Xuân
2023-08-01,Intern Java,Intern Java,3.0,,VND,Hà Nội,Thanh Xuân
2023-08-01,Nhân Viên IT Support,Nhân Viên IT Support,,,VND,Hồ Chí Minh,Quận 2
2023-08-01,Qt Embedded Engineers (Offer Upto $2000),Qt Embedded Engineers (Offer Upto $2000),50.0,,VND,Hà Nội,
2023-08-01,Frontend Technical Lead,Frontend Technical Lead,,,VND,Hà Nội,Đống Đa
2023-08-01,.Net Technical Lead,.Net Technical Lead,,,VND,Hà Nội,Đống Đa
2023-08-01,Node JS Developer Thu Nhập Upto 35 Triệu Đồng,Software Engineer,,,VND,Hà Nội,Nam Từ Liêm
2023-08-01,Front End Developer (Reactjs) - Hồ Chí Minh (Quận 2),Software Engineer,,,VND,Hồ Chí Minh,Quận 2
2023-08-01,Nodejs Developer,Software Engineer,20.0,30.0,VND,Hà Nội,Tây Hồ
2023-08-01,Vuejs Developer,Software Engineer,20.0,30.0,VND,Hà Nội,Tây Hồ
2023-08-01,Technical Service Manager (Hybrid),Technical Service Manager (Hybrid),3000.0,,USD,Hồ Chí Minh,
2023-08-01,IT Business Analyst (Hybrid),IT Business Analyst (Hybrid),2000.0,,USD,Hồ Chí Minh,
2023-08-01,Junior Fullstack .Net Developer (Hybrid),Software Engineer,,,VND,Hồ Chí Minh,
2023-08-01,Technical Writer (Hybrid),Technical Writer (Hybrid),1300.0,,USD,Hồ Chí Minh,Quận 3
2023-08-01,IT Helpdesk,IT Helpdesk,,,VND,Hà Nội,Long Biên
2023-08-01,Chuyên Viên Kiểm Thử (Manual Tester),Chuyên Viên Kiểm Thử (Manual Tester),17.0,22.0,VND,Hà Nội,Thanh Xuân
2023-08-01,"Junior UX/UI Designer - Thanh Xuân, Hà Nội (Thu Nhập Tới 15M)","Junior UX/UI Designer - Thanh Xuân, Hà Nội (Thu Nhập Tới 15M)",15.0,,VND,Hà Nội,Thanh Xuân
2023-08-01,Junior Tester,Junior Tester,7.0,15.0,VND,Hà Nội,Cầu Giấy
2023-08-01,System Network Fresher - Quận 7 - Hồ Chí Minh,System Network Fresher - Quận 7 - Hồ Chí Minh,3.0,5.0,VND,Hồ Chí Minh,Quận 7
2023-08-01,PHP Developer,Software Engineer,,,VND,Hồ Chí Minh,Quận 2
